party_code;populist
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;1
119;0
120;1
201;0
202;0
203;0
206;0
211;0
213;0
215;1
217;0
218;0
219;0
220;1
301;0
302;0
303;0
304;0
306;1
308;0
309;0
310;1
311;0
312;0
401;0
402;0
403;1
404;0
410;1
412;1
413;0
414;0
415;0
416;1
417;1
418;0
501;0
502;0
504;0
505;0
506;0
507;0
511;0
513;0
517;0
518;0
523;0
524;0
525;1
526;0
527;1
528;0
550;0
601;0
602;0
603;0
605;0
609;0
610;1
612;0
613;0
621;0
622;0
623;0
624;0
625;0
626;0
627;1
628;1
701;0
702;0
703;0
705;0
707;1
708;0
709;0
710;0
711;0
712;0
803;0
811;1
813;0
814;0
815;1
827;0
837;0
838;0
843;1
844;0
845;1
846;0
847;0
848;0
1001;0
1002;0
1003;0
1004;0
1005;0
1006;0
1014;1
1016;0
1017;1
1018;0
1020;0
1050;0
1051;1
1101;0
1102;0
1104;0
1105;0
1106;0
1107;0
1108;1
1110;1
1201;0
1202;0
1205;0
1206;0
1208;0
1209;0
1210;0
1211;0
1250;0
1301;0
1302;0
1303;1
1304;0
1306;0
1307;1
1310;1
1401;0
1402;0
1403;0
1404;0
1405;1
1406;0
1408;0
1409;0
1601;0
1602;0
1603;0
1604;0
1605;0
1606;0
1607;0
1610;1
1611;0
1612;0
2002;0
2003;0
2004;0
2005;0
2007;1
2008;0
2010;1
2013;0
2014;1
2015;1
2016;0
2017;1
2018;0
2019;0
2101;0
2102;0
2103;0
2104;0
2107;0
2109;0
2111;1
2112;0
2113;0
2114;0
2115;1
2116;0
2201;0
2202;1
2203;0
2204;0
2207;0
2208;0
2209;1
2210;0
2301;0
2302;1
2308;1
2309;0
2310;0
2311;0
2314;0
2402;0
2405;0
2406;0
2410;0
2412;0
2413;0
2414;0
2415;1
2416;0
2417;0
2501;0
2506;0
2507;0
2511;0
2515;1
2516;0
2518;0
2520;1
2521;0
2522;0
2523;0
2601;0
2603;0
2605;1
2606;0
2613;0
2614;0
2615;0
2616;0
2617;1
2618;0
2619;0
2620;0
2621;0
2701;0
2702;0
2704;0
2705;0
2706;0
2709;0
2710;1
2711;0
2712;0
2713;0
2714;0
2802;0
2803;1
2804;0
2805;0
2809;1
2812;0
2813;0
2814;1
2815;0
2816;0
2817;0
2818;0
2819;1
2820;0
2821;0
2902;1
2903;0
2904;0
2905;0
2906;0
2907;1
2911;0
2912;1
2913;0
2914;0
2915;1
3101;0
3102;0
3103;0
3104;0
3105;0
3106;0
3107;1
3108;0
3109;0
3110;0
3112;1
3113;0
3114;0
3115;1
3116;1
3117;0
3118;0
3119;0
3401;0
3402;0
3403;0
3407;0
3408;0
3501;0
3502;1
3503;0
3504;0
3505;0
3506;0
3507;0
3508;0
3509;0
3601;0
3602;0
3603;0
3604;0
3605;0
3606;0
3607;0
3608;1
3610;1
3611;0
3612;0
3701;0
3702;0
3801;0
3802;0
3803;1
3804;0
3805;1
3806;0
3807;0
4001;0
4002;0
4003;0
4004;0
4005;0
4006;0
4007;1
4008;0
4009;0
4501;0
4502;0
4503;0
4504;1
4505;0
4506;0
4507;0
4508;1
