;party_code;region;country;country_2014;party_name_2014;pol_side2_2014;country_2019;party_name_2019;pol_side2_2019;
124;1110;Western Europe;uk;NA;NA;NA;uk;BREXIT;Populist;CHECK
117;1101;Western Europe;uk;uk;CONS;Right;uk;CONS;Right;1
118;1102;Western Europe;uk;uk;LAB;Left;uk;LAB;Left;1
119;1104;Western Europe;uk;uk;LIBDEM;Center;uk;LIBDEM;Center;1
120;1105;Western Europe;uk;uk;SNP;Left;uk;SNP;Left;1
121;1106;Western Europe;uk;uk;PLAID;Left;uk;PLAID;Left;1
122;1107;Western Europe;uk;uk;GREEN;Left;uk;GREEN;Left;1
123;1108;Western Europe;uk;uk;UKIP;Populist;uk;UKIP;Populist;1
298;3601;Western Europe;swi;swi;SVP/UDC;Right;swi;SVP/UDC;Right;1
299;3602;Western Europe;swi;swi;SP/PS;Left;swi;SP/PS;Left;1
300;3603;Western Europe;swi;swi;FDP/PLR;Right;swi;FDP/PLR;Right;1
301;3604;Western Europe;swi;swi;CVP/PVC;Center;swi;CVP/PVC;Center;1
302;3605;Western Europe;swi;swi;GPS/PES;Left;swi;GPS/PES;Left;1
303;3606;Western Europe;swi;swi;GLP/PVL;Center;swi;GPL/PVL;Center;1
304;3607;Western Europe;swi;swi;EVP/PEV;Center;swi;EVP/PEV;Center;1
305;3608;Western Europe;swi;swi;EDU/UDF;Populist;NA;NA;NA;CHECK
306;3610;Western Europe;swi;swi;LdT;Populist;NA;NA;NA;CHECK
307;3611;Western Europe;swi;swi;CSP/PCS;Center;NA;NA;NA;CHECK
308;3612;Western Europe;swi;swi;BDP;Right;swi;BDP/PBD;Center;1
149;1601;Northern Europe;swe;swe;V;Left;sv;V;Left;0
150;1602;Northern Europe;swe;swe;SAP;Left;sv;S/SAP;Left;0
151;1603;Northern Europe;swe;swe;C;Right;sv;C;Right;0
152;1604;Northern Europe;swe;swe;FP;Right;sv;L;Right;0
153;1605;Northern Europe;swe;swe;M;Right;sv;M;Right;0
154;1606;Northern Europe;swe;swe;KD;Right;sv;KD;Right;0
155;1607;Northern Europe;swe;swe;MP;Left;sv;MP;Left;0
156;1610;Northern Europe;swe;swe;SD;Populist;sv;SD;Populist;0
157;1611;Northern Europe;swe;swe;PIRAT;Center;NA;NA;NA;CHECK
158;1612;Northern Europe;swe;swe;FI;Left;NA;NA;NA;CHECK
61;527;Southern Europe;spa;spa;NA;NA;esp;Vox;Populist;0
62;528;Southern Europe;spa;spa;NA;NA;esp;Pais;Left;0
63;550;Southern Europe;spa;spa;NA;NA;esp;PdeCat;Right;0
47;501;Southern Europe;spa;spa;PSOE;Left;esp;PSOE;Left;0
48;502;Southern Europe;spa;spa;PP;Right;esp;PPP;Right;0
49;504;Southern Europe;spa;spa;IU;Left;esp;IU;Left;0
50;505;Southern Europe;spa;spa;CiU;Right;NA;NA;NA;CHECK
51;506;Southern Europe;spa;spa;EAJ/PNV;Right;esp;PNV;Right;0
52;507;Southern Europe;spa;spa;EA;Center;NA;NA;NA;CHECK
53;511;Southern Europe;spa;spa;ERC;Left;esp;ERC;Left;0
54;513;Southern Europe;spa;spa;BNG;Left;esp;BNG;Left;0
55;517;Southern Europe;spa;spa;CC;Right;esp;CC;Right;0
56;518;Southern Europe;spa;spa;ICV;Left;NA;NA;NA;CHECK
57;523;Southern Europe;spa;spa;UpyD;Center;NA;NA;NA;CHECK
58;524;Southern Europe;spa;spa;Amaiur;Left;esp;EHB;Left;0
59;525;Southern Europe;spa;spa;Podemos;Populist;esp;Podemos;Populist;0
60;526;Southern Europe;spa;spa;C's;Center;esp;Cs;Right;0
255;2817;Eastern Europe;slo;NA;NA;NA;slo;LSNS;Right;CHECK
256;2818;Eastern Europe;slo;NA;NA;NA;slo;Sme Rodina;Right;CHECK
257;2819;Eastern Europe;slo;NA;NA;NA;slo;PS;Populist;CHECK
258;2820;Eastern Europe;slo;NA;NA;NA;slo;SPOLU;Center;CHECK
259;2821;Eastern Europe;slo;NA;NA;NA;slo;Za Ludi;Right;CHECK
245;2802;Eastern Europe;slo;slo;SDKU-DS;Right;NA;NA;NA;CHECK
246;2803;Eastern Europe;slo;slo;Smer-SD;Populist;slo;Smer-SD;Populist;1
247;2804;Eastern Europe;slo;slo;SMK-MKP;Right;slo;SMK-MKP;Center;1
248;2805;Eastern Europe;slo;slo;KDH;Right;slo;KDH;Right;1
249;2809;Eastern Europe;slo;slo;SNS;Populist;slo;SNS;Populist;1
250;2812;Eastern Europe;slo;slo;SaS;Right;slo;SaS;Right;1
251;2813;Eastern Europe;slo;slo;MH;Right;slo;MH;Center;1
252;2814;Eastern Europe;slo;slo;OLaNO;Populist;slo;OLaNO;Populist;1
253;2815;Eastern Europe;slo;slo;NOVA;Right;NA;NA;NA;CHECK
254;2816;Eastern Europe;slo;slo;Siet;Right;slo;Siet;Center;1
265;2907;Eastern Europe;sle;NA;NA;NA;sle;SNS;Populist;CHECK
270;2915;Eastern Europe;sle;NA;NA;NA;sle;LMS;Populist;CHECK
260;2902;Eastern Europe;sle;sle;SDS;Populist;sle;SDS;Populist;1
261;2903;Eastern Europe;sle;sle;SD;Left;sle;SD;Left;1
262;2904;Eastern Europe;sle;sle;SLS;Right;NA;NA;NA;CHECK
263;2905;Eastern Europe;sle;sle;NSI;Right;sle;NSI;Right;1
264;2906;Eastern Europe;sle;sle;DeSUS;Center;sle;DeSUS;Left;1
266;2911;Eastern Europe;sle;sle;SMC;Center;sle;SMC;Center;1
267;2912;Eastern Europe;sle;sle;ZL;Populist;sle;Levica;Populist;1
