"","attribute","Western Europe","Eastern Europe","Northern Europe","Southern Europe"
"1","eu_position",4.77693746962025,5.27875967961165,4.52227485428571,4.95916286595745
"2","eu_salience",5.68906146455696,6.45221898640777,4.93144028857143,6.24418275744681
"3","eu_dissent",2.70911059337662,2.58898331932039,2.94680993714286,2.00561465106383
"4","eu_intmark",4.95541627042254,5.3054884223301,5.0472777,4.86700504680851
"5","eu_cohesion",4.83860951971831,5.8223328038835,4.38986016538462,5.86239523617021
"6","eu_foreign",3.89498217428571,4.25703224854369,3.38265495,4.13433871489362
"7","eu_budgets",3.42126041,4.11432808252427,3.23003574230769,3.70756630851064
"8","lrgen",4.89973793227848,5.56045540611651,5.20713086,4.8816151493617
"9","lrecon",4.69043702721519,5.0908314138835,5.12569030314286,4.57174892787234
"10","lrecon_salience",6.00476854556962,6.24003178932039,6.28187277428571,6.80912755531915
"11","galtan",4.49944879,5.59626346087379,4.32811894857143,4.9869826
"12","galtan_salience",5.79526500759494,6.48849371650485,6.52751830571429,6.21800195744681
"13","spendvtax",4.37878496141026,4.67388210582524,4.67705881028571,4.29550845489362
"14","deregulation",4.50303213949367,4.9035098061165,5.02520308,4.35349457106383
"15","redistribution",4.27440654461538,4.59060748737864,4.36476537828571,3.88514559468085
"16","econ_interven",4.42106851037975,4.67398122330097,4.67329976857143,4.18846335191489
"17","civlib_laworder",4.952440755,5.32978193009709,5.11823376,4.76471562957447
"18","sociallifestyle",3.57948673367089,5.31875282747573,3.10564998342857,4.26544479765957
"19","religious_principles",3.70234348227848,4.76797690679612,3.28647128542857,4.08869166978723
"20","immigrate_policy",4.97288352911392,6.12781740970874,5.02439196,5.12998576361702
"21","multiculturalism",5.12148756367089,5.9008865368932,5.06313767571429,5.04862308319149
"22","urban_rural",4.43314352746835,4.78596347475728,4.67060266,4.54890801276596
"23","regions",4.76965648,4.65125113893204,4.61067000542857,3.75777302404255
"24","ethnic_minorities",4.74461850384615,4.84448380436893,4.50336864,4.15680252404255
"25","nationalism",4.75577003076923,5.45534494834951,4.47364543714286,5.11189856808511
"26","antielite_salience",4.25599119468354,4.6745247407767,3.53263475142857,4.92793952340426
"27","corrupt_salience",2.8449212235443,5.79735055825243,1.93924741542857,5.97310613404255
